2025-02-06 15:43:56,016 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Configure stats pid to 3321280
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Loading settings from /home/jinyx/.config/wandb/settings
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Loading settings from /data/code/Self-BackTracking/src/wandb/settings
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/data/code/Self-BackTracking/src/train.py', 'program': '/data/code/Self-BackTracking/src/train.py'}
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_init.py:_log_setup():524] Logging user logs to wandb/run-20250206_154356-j5d6dghd/logs/debug.log
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_init.py:_log_setup():525] Logging internal logs to wandb/run-20250206_154356-j5d6dghd/logs/debug-internal.log
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_init.py:init():564] calling init triggers
2025-02-06 15:43:56,017 INFO    MainThread:3321280 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'name': 'backtrack_countdown', 'train_type': 'sft', 'seed': 42, 'output_dir': '../output_countdown/', 'num_train': 500000, 'context_length': 128, 'eval_steps': 5000, 'log_steps': 10, 'batch_size': 16, 'gradient_accumulation_steps': 1, 'num_train_epochs': 3, 'weight_decay': 0.01, 'warmup_steps': 1, 'lr_scheduler_type': 'cosine', 'lr': 1e-05, 'save_total_limit': 0, 'save_steps': 5000}
2025-02-06 15:43:56,018 INFO    MainThread:3321280 [wandb_init.py:init():614] starting backend
2025-02-06 15:43:56,018 INFO    MainThread:3321280 [wandb_init.py:init():618] setting up manager
2025-02-06 15:43:56,019 INFO    MainThread:3321280 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-06 15:43:56,021 INFO    MainThread:3321280 [wandb_init.py:init():624] backend started and connected
2025-02-06 15:43:56,023 INFO    MainThread:3321280 [wandb_init.py:init():716] updated telemetry
2025-02-06 15:43:56,029 INFO    MainThread:3321280 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2025-02-06 15:43:57,150 INFO    MainThread:3321280 [wandb_run.py:_on_init():2254] communicating current version
2025-02-06 15:43:57,869 INFO    MainThread:3321280 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.19.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-02-06 15:43:57,870 INFO    MainThread:3321280 [wandb_init.py:init():800] starting run threads in backend
2025-02-06 15:44:02,547 INFO    MainThread:3321280 [wandb_run.py:_console_start():2233] atexit reg
2025-02-06 15:44:02,548 INFO    MainThread:3321280 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2025-02-06 15:44:02,548 INFO    MainThread:3321280 [wandb_run.py:_redirect():2153] Wrapping output streams.
2025-02-06 15:44:02,548 INFO    MainThread:3321280 [wandb_run.py:_redirect():2178] Redirects installed.
2025-02-06 15:44:02,548 INFO    MainThread:3321280 [wandb_init.py:init():841] run started, returning control to user process
